raman_shift_cm-1,group_1_mean,group_1_sd,group_1_n,group_2_mean,group_2_sd,group_2_n,group_3_mean,group_3_sd,group_3_n,group_4_mean,group_4_sd,group_4_n
391.442,0.0759596,0.0188189,7,0.463456,0.183949,9,0.114624,0.0363239,17,0.0248084,0.0140612,6
394.375,0.150337,0.0252843,7,0.507619,0.178627,9,0.186781,0.0315856,17,0.0215316,0.0120113,6
397.307,0.250958,0.0320614,7,0.57076,0.173515,9,0.280547,0.028522,17,0.0221814,0.010004,6
400.237,0.361405,0.0406633,7,0.640543,0.165041,9,0.380864,0.0385405,17,0.0245451,0.0119564,6
403.165,0.459193,0.0493735,7,0.707738,0.162074,9,0.470076,0.0579855,17,0.0270726,0.0126254,6
406.093,0.535244,0.0577473,7,0.759552,0.157429,9,0.536132,0.0773754,17,0.028103,0.0136494,6
409.019,0.581357,0.0613379,7,0.78835,0.153123,9,0.574024,0.0930498,17,0.0283133,0.0141699,6
411.944,0.594595,0.0621373,7,0.799438,0.150657,9,0.582505,0.105271,17,0.0286986,0.0148451,6
414.866,0.571633,0.0608302,7,0.791271,0.148589,9,0.55926,0.112623,17,0.0282079,0.0144285,6
417.789,0.517647,0.0586173,7,0.762181,0.150282,9,0.505602,0.112738,17,0.0253983,0.0132195,6
420.709,0.432514,0.0507493,7,0.711046,0.152548,9,0.427498,0.107011,17,0.0228921,0.0132533,6
423.627,0.329435,0.0415346,7,0.648651,0.161048,9,0.33151,0.0929671,17,0.0221977,0.0106813,6
426.544,0.220383,0.0291643,7,0.571655,0.165067,9,0.231683,0.0729671,17,0.0189175,0.0107612,6
429.46,0.126999,0.0188081,7,0.500722,0.167004,9,0.148006,0.0568389,17,0.0141963,0.0098657,6
432.375,0.0626508,0.0118364,7,0.448082,0.167433,9,0.0899538,0.0438597,17,0.0122991,0.0107906,6
435.288,0.029323,0.00818678,7,0.412316,0.163653,9,0.0588242,0.0367591,17,0.0113074,0.0123863,6
438.199,0.0159419,0.00595408,7,0.389684,0.161757,9,0.0453659,0.0333557,17,0.0124082,0.0120142,6
441.109,0.0114549,0.00838795,7,0.375092,0.158123,9,0.0386854,0.0329262,17,0.0130343,0.0124484,6
444.018,0.00794135,0.00849153,7,0.367146,0.157512,9,0.0335899,0.0335045,17,0.013162,0.0116936,6
446.926,0.00540646,0.00658677,7,0.364382,0.159755,9,0.0291849,0.0335328,17,0.0143226,0.0109389,6
449.831,0.00364035,0.00486142,7,0.359848,0.159152,9,0.0265395,0.0337432,17,0.0159552,0.0104924,6
452.736,0.00321336,0.00455664,7,0.362009,0.159375,9,0.0255244,0.0336194,17,0.0178799,0.0120142,6
455.639,0.0030412,0.00427066,7,0.372826,0.166085,9,0.0268042,0.0378575,17,0.0194234,0.0137385,6
458.54,0.00403454,0.00491144,7,0.384613,0.173704,9,0.0271002,0.0384691,17,0.0200632,0.0153589,6
461.44,0.00365677,0.00474708,7,0.393485,0.179656,9,0.0279546,0.0405469,17,0.0199415,0.0138157,6
464.339,0.00543401,0.00536954,7,0.402372,0.185421,9,0.0273893,0.0406551,17,0.0192881,0.0127086,6
467.236,0.00455169,0.00510181,7,0.406856,0.187358,9,0.0283129,0.0404023,17,0.0180792,0.0117342,6
470.132,0.00591998,0.00576025,7,0.414356,0.190242,9,0.0321094,0.0421268,17,0.017094,0.0114103,6
473.027,0.0126698,0.00960091,7,0.42462,0.196235,9,0.0380596,0.0431536,17,0.0159839,0.010366,6
475.92,0.0285458,0.0161814,7,0.432496,0.201728,9,0.0487152,0.0469409,17,0.0152501,0.0102126,6
478.811,0.0543048,0.0289511,7,0.442374,0.208017,9,0.0636381,0.0507923,17,0.0143625,0.0102635,6
481.702,0.0839521,0.0403803,7,0.454074,0.211014,9,0.0835628,0.0576854,17,0.0132714,0.00972333,6
